Card name,Status,Members,Checklists
BIDWHDEV-XXXX,Backlog,[],"[<Checklist 5dc019ae4ed02d62aed16506>, <Checklist 5dc019ae4ed02d62aed16512>, <Checklist 5dc019ae4ed02d62aed16524>, <Checklist 5dc019ae4ed02d62aed1653c>, <Checklist 5dc019ae4ed02d62aed16546>]"
BIDWHDEV-XXXX,Backlog,"['5d831835808145195c95f1a0', '526d0007f28467086c00386a', '5d83181837b3833746dce248']","[<Checklist 5d88bf0e1d896c3392a11d67>, <Checklist 5d88bf0e1d896c3392a11d71>, <Checklist 5d88bf0e1d896c3392a11d83>, <Checklist 5d88bf0e1d896c3392a11d99>, <Checklist 5d89bb8a07ee202a3d2a5953>]"
BIDWHDEV-XXXX - HOTFIX,Backlog,[],"[<Checklist 5dc026c6f454d77cf8318904>, <Checklist 5dc026c6f454d77cf8318910>, <Checklist 5dc026c6f454d77cf8318922>, <Checklist 5dc026c6f454d77cf831893a>, <Checklist 5dc026c6f454d77cf8318944>]"
BIDWHDEV-4582,Backlog,['5d83181837b3833746dce248'],"[<Checklist 5dc2c6537db160418394b269>, <Checklist 5dc2c6537db160418394b275>, <Checklist 5dc2c6537db160418394b287>, <Checklist 5dc2c6537db160418394b29f>, <Checklist 5dc2c6537db160418394b2a9>]"
BIDWHDEV-4658,Development,['5d831835808145195c95f1a0'],"[<Checklist 5dc2bd505c2afc39cd631de9>, <Checklist 5dc2bd505c2afc39cd631df1>, <Checklist 5dc2bd505c2afc39cd631e01>, <Checklist 5dc2bd505c2afc39cd631e15>, <Checklist 5dc2bd505c2afc39cd631e1d>]"
BIDWHDEV-4580,Development,"['5d83181837b3833746dce248', '5d831835808145195c95f1a0']","[<Checklist 5db18bbb40c5500246c25607>, <Checklist 5db18bbb40c5500246c25613>, <Checklist 5db18bbb40c5500246c25625>, <Checklist 5db18bbb40c5500246c2563d>, <Checklist 5db18bbb40c5500246c25647>]"
BIDWHDEV-4054,Small CR,"['5d831835808145195c95f1a0', '5d83181837b3833746dce248']","[<Checklist 5d84deac62329a384bfd17dd>, <Checklist 5d84deac62329a384bfd17e3>, <Checklist 5d84deac62329a384bfd17e7>, <Checklist 5d84deac62329a384bfd17ef>]"
BIDWHDEV-4446,DEV Support,"['5d831835808145195c95f1a0', '526d0007f28467086c00386a', '5d83181837b3833746dce248']","[<Checklist 5da5b8ae8351bd4f0f364c21>, <Checklist 5da5b8ae8351bd4f0f364c2b>, <Checklist 5da5b8ae8351bd4f0f364c3d>, <Checklist 5da5b8ae8351bd4f0f364c55>, <Checklist 5da5b8ae8351bd4f0f364c5f>]"
BIDWHDEV-3478,DEV Support,"['5d831835808145195c95f1a0', '526d0007f28467086c00386a', '5d83181837b3833746dce248']","[<Checklist 5d84ad6de9fe4084262cd635>, <Checklist 5d9c256e3a61251fe7b623f4>, <Checklist 5d9c25a559972b623d155b33>, <Checklist 5d84ad6de9fe4084262cd65d>, <Checklist 5d95982f78496219245ce572>]"
BIDWHDEV-3837,DEV Support,"['5d83181837b3833746dce248', '5d831835808145195c95f1a0']","[<Checklist 5d92e634ee1e882a6282984e>, <Checklist 5d92e634ee1e882a62829858>, <Checklist 5d92e634ee1e882a6282986a>, <Checklist 5d92e634ee1e882a62829882>, <Checklist 5d92e634ee1e882a6282988c>]"
BIDWHDEV-4497,Package checking,"['5d83181837b3833746dce248', '5d831835808145195c95f1a0']","[<Checklist 5dc15e93b552d030b62d4a4f>, <Checklist 5dc15e93b552d030b62d4a5b>, <Checklist 5dc15e93b552d030b62d4a6d>, <Checklist 5dc15e93b552d030b62d4a85>, <Checklist 5dc15e93b552d030b62d4a8f>]"
BIDWHDEV-4680 HOTFIX,UAT INSTALL alatt,"['5d831835808145195c95f1a0', '5d83181837b3833746dce248']","[<Checklist 5dc16c9881931c3ffdadf68a>, <Checklist 5dc16c9881931c3ffdadf696>, <Checklist 5dc16c9881931c3ffdadf6a8>, <Checklist 5dc16c9881931c3ffdadf6c0>, <Checklist 5dc16c9881931c3ffdadf6ca>]"
BIDWHDEV-4682 - HOTFIX,UAT INSTALL alatt,"['5d83181837b3833746dce248', '5d831835808145195c95f1a0']","[<Checklist 5dc27235b2234469c0c67937>, <Checklist 5dc27235b2234469c0c67943>, <Checklist 5dc27235b2234469c0c67955>, <Checklist 5dc27235b2234469c0c6796d>, <Checklist 5dc27235b2234469c0c67977>]"
BIDWHDEV-4621 HOTFIX,UAT INSTALL alatt,"['5d83181837b3833746dce248', '5d831835808145195c95f1a0']","[<Checklist 5dada3559ca9a00e964053a4>, <Checklist 5dada3559ca9a00e964053b0>, <Checklist 5dada3559ca9a00e964053c2>, <Checklist 5dada3559ca9a00e964053da>, <Checklist 5dada3559ca9a00e964053e4>]"
BIDWHDEV-4511,UAT INSTALL alatt,"['5d83181837b3833746dce248', '5d831835808145195c95f1a0']","[<Checklist 5dba87844e9837764c18b8b2>, <Checklist 5dba87844e9837764c18b8be>, <Checklist 5dba87844e9837764c18b8d0>, <Checklist 5dba87844e9837764c18b8e8>, <Checklist 5dba87844e9837764c18b8f2>]"
BIDWHDEV-4618 HOTFIX,UAT INSTALL alatt,"['5d83181837b3833746dce248', '5d831835808145195c95f1a0']","[<Checklist 5dadb09e2a76524dc5b732cc>, <Checklist 5dadb09e2a76524dc5b732d2>, <Checklist 5dadb09e2a76524dc5b732dc>, <Checklist 5dadb09e2a76524dc5b732e8>, <Checklist 5dadb09e2a76524dc5b732f0>]"
BIDWHDEV-4660,UAT INSTALL alatt,"['5d83181837b3833746dce248', '5d831835808145195c95f1a0']","[<Checklist 5dc280188a78933e550a54a9>, <Checklist 5dc280188a78933e550a54b5>, <Checklist 5dc280188a78933e550a54c7>, <Checklist 5dc280188a78933e550a54df>, <Checklist 5dc280188a78933e550a54e9>]"
BIDWHDEV-4571,UAT Developer Test,"['5d831835808145195c95f1a0', '526d0007f28467086c00386a', '5d83181837b3833746dce248']","[<Checklist 5db2868e230c196ed904a2e7>, <Checklist 5db2868e230c196ed904a2f3>, <Checklist 5db2868e230c196ed904a305>, <Checklist 5db2868e230c196ed904a31d>, <Checklist 5db2868e230c196ed904a327>]"
BIDWHDEV-4623,UAT Developer Test,"['5d831835808145195c95f1a0', '5d83181837b3833746dce248', '526d0007f28467086c00386a']","[<Checklist 5db948a87567a016ffd283f5>, <Checklist 5db948a87567a016ffd28401>, <Checklist 5db948a87567a016ffd28413>, <Checklist 5db948a87567a016ffd2842b>, <Checklist 5db948a87567a016ffd28435>]"
BIDWHDEV-4111,UAT Developer Test,"['5d831835808145195c95f1a0', '5d83181837b3833746dce248']","[<Checklist 5dbfea64a8141b88498e9d5c>, <Checklist 5dbfea64a8141b88498e9d68>, <Checklist 5dbfea64a8141b88498e9d7a>, <Checklist 5dbfea64a8141b88498e9d92>, <Checklist 5dbfea64a8141b88498e9d9c>]"
BIDWHDEV-3464,Test,"['5d83181837b3833746dce248', '5d831835808145195c95f1a0']","[<Checklist 5d9196cbbfd44e0f4d8cf703>, <Checklist 5d9196cbbfd44e0f4d8cf70d>, <Checklist 5d9196cbbfd44e0f4d8cf71f>, <Checklist 5d9196cbbfd44e0f4d8cf737>, <Checklist 5d9196cbbfd44e0f4d8cf741>]"
BIDWHDEV-4202,Test,[],"[<Checklist 5d8344ff734bbb8d1479a5ff>, <Checklist 5d8344ff734bbb8d1479a60b>, <Checklist 5d8344ff734bbb8d1479a613>, <Checklist 5d835bfe64fa6b7c38c9d5a1>]"
